"id","sku","url","name","city","province","description","facilities","capacity","room_count","amenities","rules","host_name","contact_number","average_rating"
53996,"1198d4a1bb33460b9381e3a292a9dcab",https://jajooreh.com/residence/a-villa-with-a-green-garden-in-razvanshahr/,ویلا حیاط دار باغی سرسبز در رضوانشهر,رضوانشهر,گیلان,"درمسیرآبشارویسادار،
فاصله تا ساحل گیسوم ۱۰دقیقه،
تا بندر انزلی نیم ساعت ،
تا آستارا و ماسال ۴۵دقیقه،
جاذبه های گردشگری قلعه رودخان ماسوله","فضای اقامتگاه:
متراژ زیربنا: 179
متراژ محوطه: 1000
نوع اقامتگاه: ویلا
منطقه: جنگلی , شله - روستایی

ظریفت اقامتگاه:
حداقل ظرفیت: 7
حداکثر ظرفیت: 10",حداقل ظرفیت: 7 - حداکثر ظرفیت: 10,"2 اتاق خواب","امکانات:
آنتن گیرنده TV
اجاق گاز
اینترنت
بخاری
پارکینگ
تلویزیون
جاروبرقی
سیستم صوتی
ظروف آشپزخانه
فضای سبز
کولر اسپلیت
مبلمان
منقل
میز ناهارخوری
یخچال

لوازم بازی:
زمین بازی کودکان

سرویس بهداشتی:
ایرانی
فرنگی

چشم انداز:
ویو به جنگل
ویو به رودخانه

ایمنی:
جعبه کمک های اولیه

انشعابات:
آب
برق
گاز","ساعت ورود و خروج:
ساعت ورود:14:00 ظهر
ساعت خروج:12:00 ظهر

مدارک تحویل اقامتگاه :
ارائه کارت ملی

موارد ممنوعه:
برگذاری جشن و مهمانی های بزرگ ممنوع است

قوانین کنسلی:
بیش از 3 روز از زمان ورود : پس از کسر حداکثر 15 درصد کارمزد، مابقی مبلغ صورتحساب به میهمان عودت می‌شود.
کمتر از 3 روز به زمان ورود : اجاره شب اول بعلاوه حداکثر 15 درصد شب‌های باقیمانده کسر می‌گردد.
بعد از زمان ورود : اجاره شب‌های سپری شده بعلاوه اجاره شب اول از شب‌های باقیمانده بعلاوه حداکثر 15 درصد مابقی شب‌های رزرو، کسر می‌گردد.",خارابی,,امتیاز کلی:5
53997,b24f41c070e34fdebaa002958fd5b550,https://jajooreh.com/residence/duplex-villa-for-rent-in-khazarabad-sari/,اجاره ویلا دوبلکس در خزرآباد ساری,ساری,مازندران,"ویلا استخرسرپوشیده همراه با تصفیه خانه ۲۴ساعته
فاصله با دریا ۱کیلومتر","فضای اقامتگاه:
متراژ زیربنا: ۱۲۰
متراژ محوطه: ۱۱۰
نوع اقامتگاه: ویلا
منطقه: شهری , نزدیک دریا

ظریفت اقامتگاه:
حداقل ظرفیت: 4
حداکثر ظرفیت: 6",حداقل ظرفیت: 4 - حداکثر ظرفیت: 6,"۲ اتاق خواب","امکانات:
اتاق مستر
اجاق گاز
استخر سرپوشیده
پارکینگ
پکیج دیواری
تلویزیون
شوفاژ
ظروف آشپزخانه
کولر اسپلیت
مبلمان
منقل
یخچال

سرویس بهداشتی:
ایرانی
فرنگی

چشم انداز:
ویو به رودخانه

انشعابات:
آب
برق
گاز","ساعت ورود و خروج:
ساعت ورود:14:00 ظهر
ساعت خروج:12:00 ظهر

مدارک تحویل اقامتگاه :
ارائه کارت ماشین
ارائه کارت ملی

موارد ممنوعه:
استعمال دخانیات ممنوع است (سیگار و قلیون )
برگذاری جشن مهمانی های کوچک ممنوع است
برگذاری جشن و مهمانی های بزرگ ممنوع است
ورود حیوان خانگی (پت های خانگی ) ممنوع است

قوانین کنسلی:
بیش از 5 روز از زمان ورود : حداکثر %25 از مبلغ صورتحساب کسر و مابقی عودت می‌شود. در این حالت 10% از صورتحساب به میزبان پرداخت می‌شود.
کمتر از5 روز به زمان ورود : هزینه شب اول اقامت بعلاوه حداکثر 60% از مبلغ شب‌های باقیمانده کسر و مابقی صورتحساب بازپرداخت می‌شود.
بعد از زمان ورود : اجاره‌بها به میزبان پرداخت می شود و هیچ مبلغی قابل عودت نخواهد بود.",حسینی,,امتیاز کلی:5
53998,a16c110f87dc489089920c93a6f9f8b0,https://jajooreh.com/residence/villa-for-rent-in-kurdan-with-hot-water-pool/,اجاره ویلا در کردان با استخر اب گرم,کردان,البرز,"ویلا ۲خوابه.۱خواب مستر
۲تا آتشکده
۳دست صندلی باغی ۶نفره
باربیکیو گازی+منقل ذغالی
سوپر مارکت با پیک
استخر بزرگ ۸×۴ آب گرم
تخت آفتاب
۲تا کناپه تخت خواب شو
فوتبال دستی
سیستم صوتی.led 48
لوازم آشپزخانه تکمیل(ماکروویو. لباسشویی…)ا
منیت بالا+جای پارک اختصاصی ۱۰خودرو
ویو کوه صدای رودخانه
فاصله تا رودخانه ۱دقیقه پیاده","فضای اقامتگاه:
متراژ زیربنا: 160
متراژ محوطه: 200
نوع اقامتگاه: ویلا
منطقه: حومه شهر

ظریفت اقامتگاه:
حداقل ظرفیت: 6
حداکثر ظرفیت: 14",حداقل ظرفیت: 6 - حداکثر ظرفیت: 14,"۲ اتاق خواب","امکانات:
اتاق مستر
اجاق گاز
استخر روباز آبگرم
باربیکیو
بخاری
پارکینگ
پکیج دیواری
تلویزیون
جاروبرقی
چای ساز
دوش داخل حیاط
سیستم صوتی
شوفاژ
ظروف آشپزخانه
فضای سبز
فضای نشیمن در محوطه
کولر آبی
ماشین لباسشویی
مایکروفر
مبلمان
منقل
میز ناهارخوری
یخچال

لوازم بازی:
فوتبال دستی

سرویس بهداشتی:
ایرانی
فرنگی

چشم انداز:
ویو به رودخانه

انشعابات:
آب
برق
گاز","ساعت ورود و خروج:
ساعت ورود:14:00 ظهر
ساعت خروج:12:00 ظهر

مدارک تحویل اقامتگاه :
ارائه کارت ماشین
ارائه کارت ملی

موارد ممنوعه:
برگذاری جشن و مهمانی های بزرگ ممنوع است

قوانین کنسلی:
بیش از 5 روز از زمان ورود : حداکثر %25 از مبلغ صورتحساب کسر و مابقی عودت می‌شود. در این حالت 10% از صورتحساب به میزبان پرداخت می‌شود.
کمتر از5 روز به زمان ورود : هزینه شب اول اقامت بعلاوه حداکثر 60% از مبلغ شب‌های باقیمانده کسر و مابقی صورتحساب بازپرداخت می‌شود.
بعد از زمان ورود : اجاره‌بها به میزبان پرداخت می شود و هیچ مبلغی قابل عودت نخواهد بود.",نصیری,,امتیاز کلی:0
53999,d89b71f765344d5a93024d1a038ca248,https://jajooreh.com/residence/villa-with-jacuzzi-pool-in-marwarid-darya-town/,ویلا با استخر جکوزی شهرک مروارید دریا,سرخرود,مازندران,"ویلا تریبلکس  ۳خواب مسترفوق لاکچری✔️
استخر و جکوزی  داغ سرپوشیده ✔️
مبله داخلی بسیار لوکس و شیک✔️
گرمایش از کف ویلا✔️
دارای سیستم صوتی ✔️
اشپز خانه مجهز✔️
سرخرود","فضای اقامتگاه:
متراژ زیربنا: 360
متراژ محوطه: 300
نوع اقامتگاه: ویلا
منطقه: حومه شهر , نزدیک دریا

ظریفت اقامتگاه:
حداقل ظرفیت: 6
حداکثر ظرفیت: 8",حداقل ظرفیت: 6 - حداکثر ظرفیت: 8,"۳ اتاق خواب","امکانات:
آلاچیق
آنتن گیرنده TV
اتاق مستر
اجاق گاز
استخر سرپوشیده
باربیکیو
پارکینگ
پکیج دیواری
تصفیه آب شرب
تلویزیون
جاروبرقی
جکوزی
چای ساز
سشوار
سیستم صوتی
ظروف آشپزخانه
فضای سبز
فضای نشیمن در محوطه
کولر اسپلیت
کولر سلولوزی
گرمایش از کف
مبلمان
منقل
میز ناهارخوری
یخچال

لوازم بازی:
فوتبال دستی
میز بیلیارد

سرویس بهداشتی:
ایرانی
فرنگی

چشم انداز:
ویو به دریاچه

انشعابات:
آب
برق
گاز","ساعت ورود و خروج:
ساعت ورود:۲:۰۰ ظهر
ساعت خروج:12:00 ظهر

مدارک تحویل اقامتگاه :
ارائه کارت ماشین
ارائه کارت ملی

موارد ممنوعه:
ورود حیوان خانگی (پت های خانگی ) ممنوع است

قوانین کنسلی:
بیش از 3 روز از زمان ورود : پس از کسر حداکثر 15 درصد کارمزد، مابقی مبلغ صورتحساب به میهمان عودت می‌شود.
کمتر از 3 روز به زمان ورود : اجاره شب اول بعلاوه حداکثر 15 درصد شب‌های باقیمانده کسر می‌گردد.
بعد از زمان ورود : اجاره شب‌های سپری شده بعلاوه اجاره شب اول از شب‌های باقیمانده بعلاوه حداکثر 15 درصد مابقی شب‌های رزرو، کسر می‌گردد.",مهتابی,,امتیاز کلی:5
54000,b0a722c536a7408dad87cad9ace503c8,https://jajooreh.com/residence/4-bedroom-villa-for-rent-with-pool-and-jacuzzi/,اجاره ویلا 4 خواب با استخر و جکوزی,کردان,البرز,"4خواب
2خواب مستر
1خواب زیر شیروانی
متریال تمام چوب
۵سرویس بهداشتی
استخر سقف پوشیده دور باز
تصفیه و گرمایش دائم
جکوزی
فوتبال دستی
پینگ پنگ
میز ناهارخوری ۸نفره
سیستم صوتی و تصویری حرفه ای
لوکیشن :کردان","فضای اقامتگاه:
متراژ زیربنا: 350
متراژ محوطه: 1000
نوع اقامتگاه: ویلا
منطقه: شله - روستایی

ظریفت اقامتگاه:
حداقل ظرفیت: 10
حداکثر ظرفیت: 25",حداقل ظرفیت: 10 - حداکثر ظرفیت: 25,"4 اتاق خواب","امکانات:
اتاق مستر
اجاق گاز
استخر روباز آبگرم
استخر سرپوشیده
باربیکیو
پارکینگ
تلویزیون
جکوزی
سیستم صوتی
ظروف آشپزخانه
فضای سبز
فضای نشیمن در محوطه
کولر اسپلیت
گرمایش از کف
ماشین لباسشویی
مبلمان
میز ناهارخوری
یخچال

لوازم بازی:
فوتبال دستی
میز پینگ پنگ

سرویس بهداشتی:
ایرانی
فرنگی

ایمنی:
جعبه کمک های اولیه
کپسول آتش نشانی

انشعابات:
آب
برق
گاز","ساعت ورود و خروج:
ساعت ورود:14:00 ظهر
ساعت خروج:12:00 ظهر

مدارک تحویل اقامتگاه :
ارائه کارت ماشین
ارائه کارت ملی

موارد ممنوعه:
ورود حیوان خانگی (پت های خانگی ) ممنوع است

قوانین کنسلی:
بیش از 5 روز از زمان ورود : حداکثر %25 از مبلغ صورتحساب کسر و مابقی عودت می‌شود. در این حالت 10% از صورتحساب به میزبان پرداخت می‌شود.
کمتر از5 روز به زمان ورود : هزینه شب اول اقامت بعلاوه حداکثر 60% از مبلغ شب‌های باقیمانده کسر و مابقی صورتحساب بازپرداخت می‌شود.
بعد از زمان ورود : اجاره‌بها به میزبان پرداخت می شود و هیچ مبلغی قابل عودت نخواهد بود.",راد,,امتیاز کلی:0
54001,f09d9f36fb5b4c48898dd423efea3662,https://jajooreh.com/residence/rent-a-villa-with-an-indoor-pool-in-kordan/,اجاره ویلا با استخر سرپوشیده در کردان,کردان,البرز,"❌۶۰۰ متر مساحت کل باغ🌳‌🌳
۱۳۰ متر بنا 🏡
دو خواب🛏🛏
استخر سرپوشیده داخل ۴ فصل🏊‍♂️🏊‍♂️🏊‍♂️🚿🚿🚿
سرویس بهداشتی ایرانی و فرنگی🚽🚽
گرمایش موتورخانه ( رادیاتور )🔥
سرمایش کولر آبی ۲ عدد❄️
سیستم صوتی خوب🔊
تلوزیون ۴۲ اینچ🖥
لوازم بازی فوتبال دستی⚽️
باربیکیو و میز و صندلی حیاطی🥓
نگهبانی ۲۴ ساعته جلوی در ورودی باغ ( داخل کوچه )👨🏻‍✈️
جای پارک ۴ الی ۵ ماشین🚗
اماده برای چشن و مهمانیهای خانوادگی🥂🍷🍻
امن و دنج","فضای اقامتگاه:
متراژ زیربنا: ۱۳۰
متراژ محوطه: ۶۰۰
نوع اقامتگاه: ویلا
منطقه: حومه شهر

ظریفت اقامتگاه:
حداقل ظرفیت: 4
حداکثر ظرفیت: 10",حداقل ظرفیت: 4 - حداکثر ظرفیت: 10,"۲ اتاق خواب","امکانات:
اجاق گاز
استخر سرپوشیده
باربیکیو
پارکینگ
پکیج دیواری
تلویزیون
سیستم صوتی
فضای سبز
فضای نشیمن در محوطه
کولر آبی
مبلمان
میز ناهارخوری
یخچال

لوازم بازی:
فوتبال دستی

سرویس بهداشتی:
ایرانی
فرنگی

ایمنی:
جعبه کمک های اولیه

انشعابات:
آب
برق
گاز","ساعت ورود و خروج:
ساعت ورود:14:00 ظهر
ساعت خروج:12:00 ظهر

مدارک تحویل اقامتگاه :
ارائه کارت ملی

موارد ممنوعه:
ورود حیوان خانگی (پت های خانگی ) ممنوع است

قوانین کنسلی:
بیش از 5 روز از زمان ورود : حداکثر %25 از مبلغ صورتحساب کسر و مابقی عودت می‌شود. در این حالت 10% از صورتحساب به میزبان پرداخت می‌شود.
کمتر از5 روز به زمان ورود : هزینه شب اول اقامت بعلاوه حداکثر 60% از مبلغ شب‌های باقیمانده کسر و مابقی صورتحساب بازپرداخت می‌شود.
بعد از زمان ورود : اجاره‌بها به میزبان پرداخت می شود و هیچ مبلغی قابل عودت نخواهد بود.",جلالی,,امتیاز کلی:0
54002,ec0b2af4920b4c74bdc119732f4da788,https://jajooreh.com/residence/villa-for-rent-in-rodhen-with-billiards/,اجاره ویلا در رودهن با بیلیارد,رودهن,تهران,"700متر زمین
400متر بنا
سه خواب
دو خواب مستر
میز بیلیارد و فوتبال دستی
گرمایش از کف
نشیمن عربی
استخر سرپوشیده
سیستم صوتی حرفه
پارکینگ☝🏼☝🏼☝🏼","فضای اقامتگاه:
متراژ زیربنا: 350
متراژ محوطه: 700
نوع اقامتگاه: ویلا
منطقه: شهری

ظریفت اقامتگاه:
حداقل ظرفیت: 6
حداکثر ظرفیت: 40",حداقل ظرفیت: 6 - حداکثر ظرفیت: 40,"3 اتاق خواب","امکانات:
آلاچیق
آنتن گیرنده TV
اتاق مستر
اجاق گاز
استخر سرپوشیده
باربیکیو
پارکینگ
تلویزیون
جاروبرقی
چای ساز
سیستم صوتی
ظروف آشپزخانه
فضای سبز
کولر آبی
گرمایش از کف
مبلمان
میز ناهارخوری
یخچال

لوازم بازی:
فوتبال دستی
میز بیلیارد

سرویس بهداشتی:
ایرانی
فرنگی

چشم انداز:
ویو به شهر

انشعابات:
آب
برق
گاز","ساعت ورود و خروج:
ساعت ورود:14:00 ظهر
ساعت خروج:12:00 ظهر

مدارک تحویل اقامتگاه :
ارائه کارت ماشین
ارائه کارت ملی

موارد ممنوعه:
برگذاری جشن و مهمانی های بزرگ ممنوع است

قوانین کنسلی:
بیش از 5 روز از زمان ورود : حداکثر %25 از مبلغ صورتحساب کسر و مابقی عودت می‌شود. در این حالت 10% از صورتحساب به میزبان پرداخت می‌شود.
کمتر از5 روز به زمان ورود : هزینه شب اول اقامت بعلاوه حداکثر 60% از مبلغ شب‌های باقیمانده کسر و مابقی صورتحساب بازپرداخت می‌شود.
بعد از زمان ورود : اجاره‌بها به میزبان پرداخت می شود و هیچ مبلغی قابل عودت نخواهد بود.",ونائی,,امتیاز کلی:0
54003,"65439c3ae83d48458249f04852109968",https://jajooreh.com/residence/daily-rent-of-an-apartment-in-shariati-tehran-2/,اجاره روزانه آپارتمان در شریعتی تهران,تهران,تهران,"آپارتمان مبله 70متری تک خواب در طبقه اول ساختمان 4 طبقه پنج واحدی در شریعتی واقع شده است.
ملک فاقد پارکینگ بلوده اما بیرون از ساختمان فضای کافی برای پارک خودرو وجود دارد.
همچنین پارکینگ عمومی چند کوچه از ملک دور است.
نما ساختمان سنگ و مسیر منتهی به واحد اسفالت می باشد.
فاصله به صورت پیاده تا تاکسی 2 دقیقه، مترو 10 دقیقه، بی ارتی 15 دقیقه، با وسیله نقلیه تا فرودگاه مهراباد و راه اهن 20 دقیقه و تا ترمینال 5 دقیقه می باشد.
دسترسی به فروشگاه های زنجیره ای، سوپرمارکت، نانوایی، قصابی، میوه فروشی، پمپ بنزین، عابربانک با طی کردن 3 دقیقه امکانپذیر است.
داروخانه 2 دقیقه، درمانگاه و بیمارستان رسالت 10 دقیقه ببا ملک فاصله دارد.
دسترسی به بوستان ترافیک 10 دقیقه، پل طبیعت15 دقیقه، اتوبان صیادشیرازی و اتوبان همت 10 دقیقه، و امام زاده صالح20 دقیقه میباشد.","فضای اقامتگاه:
متراژ زیربنا: 75
متراژ محوطه: 350
نوع اقامتگاه: آپارتمان
منطقه: شهری

ظریفت اقامتگاه:
حداقل ظرفیت: 2
حداکثر ظرفیت: 3",حداقل ظرفیت: 2 - حداکثر ظرفیت: 3,"1 اتاق خواب","امکانات:
آنتن گیرنده TV
اجاق گاز
تلویزیون
چای ساز
شوفاژ
ظروف آشپزخانه
کولر آبی
مبلمان
میز ناهارخوری
یخچال

سرویس بهداشتی:
ایرانی
فرنگی

چشم انداز:
ویو به شهر

انشعابات:
آب
برق
گاز","ساعت ورود و خروج:
ساعت ورود:14:00 ظهر
ساعت خروج:12:00 ظهر

مدارک تحویل اقامتگاه :
ارائه کارت ملی

موارد ممنوعه:
استعمال دخانیات ممنوع است (سیگار و قلیون )
برگذاری جشن مهمانی های کوچک ممنوع است
برگذاری جشن و مهمانی های بزرگ ممنوع است
ورود حیوان خانگی (پت های خانگی ) ممنوع است

قوانین کنسلی:
بیش از 3 روز از زمان ورود : پس از کسر حداکثر 15 درصد کارمزد، مابقی مبلغ صورتحساب به میهمان عودت می‌شود.
کمتر از 3 روز به زمان ورود : اجاره شب اول بعلاوه حداکثر 15 درصد شب‌های باقیمانده کسر می‌گردد.
بعد از زمان ورود : اجاره شب‌های سپری شده بعلاوه اجاره شب اول از شب‌های باقیمانده بعلاوه حداکثر 15 درصد مابقی شب‌های رزرو، کسر می‌گردد.",مردآبادی,,امتیاز کلی:5
54004,e63f265feb764a3c8ffa9e53d6ba78af,https://jajooreh.com/residence/villa-for-rent-in-kurdan-with-an-indoor-pool-7/,اجاره ویلا در کردان با استخر سرپوشیده,کردان,البرز,"اجاره ویلا باغ دوخوااب یک خواب مستر
وسایل آشپزخانه تکمیل
میز بیلیارد فوتبال دستی آلاچیق
آتشکده چمن بازی باربیکیو صندلی باغی تاپ و حیاط جای چهارتا خودرو مناسب است استخر سرپوشیده آب گرم و تسویه فعال","فضای اقامتگاه:
متراژ زیربنا: ۱۳۰
متراژ محوطه: ۸۰۰
نوع اقامتگاه: ویلا
منطقه: شله - روستایی

ظریفت اقامتگاه:
حداقل ظرفیت: 3
حداکثر ظرفیت: 20",حداقل ظرفیت: 3 - حداکثر ظرفیت: 20,"۲ اتاق خواب","امکانات:
آلاچیق
آنتن گیرنده TV
اتاق مستر
اجاق گاز
استخر سرپوشیده
باربیکیو
پارکینگ
تصفیه آب شرب
تلویزیون
جاروبرقی
سیستم صوتی
ظروف آشپزخانه
فضای سبز
فضای نشیمن در محوطه
کولر آبی
مبلمان
میز ناهارخوری
یخچال

لوازم بازی:
تاب یا سرسره
تخته نرد
فوتبال دستی
میز بیلیارد

سرویس بهداشتی:
ایرانی
فرنگی

چشم انداز:
ویو به روستا

انشعابات:
آب
برق
گاز","ساعت ورود و خروج:
ساعت ورود:14:00 ظهر
ساعت خروج:12:00 ظهر

مدارک تحویل اقامتگاه :
ارائه کارت ماشین
ارائه کارت ملی
ارائه مدرک محرمیت
پاسپورت

موارد ممنوعه:
ورود حیوان خانگی (پت های خانگی ) ممنوع است

قوانین کنسلی:
بیش از 3 روز از زمان ورود : پس از کسر حداکثر 15 درصد کارمزد، مابقی مبلغ صورتحساب به میهمان عودت می‌شود.
کمتر از 3 روز به زمان ورود : اجاره شب اول بعلاوه حداکثر 15 درصد شب‌های باقیمانده کسر می‌گردد.
بعد از زمان ورود : اجاره شب‌های سپری شده بعلاوه اجاره شب اول از شب‌های باقیمانده بعلاوه حداکثر 15 درصد مابقی شب‌های رزرو، کسر می‌گردد.",رضایی مشهدی,,امتیاز کلی:0
54005,"7544838913864739bf91a1c2a21c65f9",https://jajooreh.com/residence/furnished-apartment-for-rent-in-taksim-istanbul/,اجاره آپارتمان مبله در استانبول تکسیم,استانبول,ترکیه,"🚪 *یک خواب عثمان بی*
✅️ *امکانات:*
🔵 *سالن پذیرایی:*
◀️ تلویزیون
◀️ کولر گازی
◀️ مبلمان
◀️ میز و صندلی نهار خوری
🔵 *اتاق خواب:*
◀️ تخت دو نفره ۱ عدد
◀️ کمد لباس
◀️ کولر گازی
🔵 *آشپزخانه:*
◀️ یخچال
◀️ اجاق گاز
◀️ وسایل آشپزی
◀️ چایساز
◀️ ماشین لباسشویی
🔵 *سایر امکانات:*
◀️ گرمایش ساختمان شوفاژ
◀️ اینترنت و ایفای
✅️ *طبقه: چهارم با آسانسور*
✅️ *ظرفیت:* ۲ تا ۳ نفر
✅️ *آدرس:* تکسیم ، عثمان بی","فضای اقامتگاه:
متراژ زیربنا: 60
متراژ محوطه: 200
نوع اقامتگاه: آپارتمان
منطقه: شهری

ظریفت اقامتگاه:
حداقل ظرفیت: 2
حداکثر ظرفیت: 3",حداقل ظرفیت: 2 - حداکثر ظرفیت: 3,"۱ اتاق خواب","امکانات:
آنتن گیرنده TV
اجاق گاز
اینترنت
پکیج دیواری
تصفیه آب شرب
تلویزیون
جاروبرقی
چای ساز
شوفاژ
ظروف آشپزخانه
کولر اسپلیت
ماشین لباسشویی
مبلمان
میز ناهارخوری
یخچال

سرویس بهداشتی:
ایرانی
فرنگی

چشم انداز:
ویو به شهر

ایمنی:
جعبه کمک های اولیه

انشعابات:
آب
برق
گاز","ساعت ورود و خروج:
ساعت ورود:14:00 ظهر
ساعت خروج:12:00 ظهر

مدارک تحویل اقامتگاه :
پاسپورت

موارد ممنوعه:
برگذاری جشن مهمانی های کوچک ممنوع است
برگذاری جشن و مهمانی های بزرگ ممنوع است
ورود حیوان خانگی (پت های خانگی ) ممنوع است

قوانین کنسلی:
بیش از 5 روز از زمان ورود : حداکثر %25 از مبلغ صورتحساب کسر و مابقی عودت می‌شود. در این حالت 10% از صورتحساب به میزبان پرداخت می‌شود.
کمتر از5 روز به زمان ورود : هزینه شب اول اقامت بعلاوه حداکثر 60% از مبلغ شب‌های باقیمانده کسر و مابقی صورتحساب بازپرداخت می‌شود.
بعد از زمان ورود : اجاره‌بها به میزبان پرداخت می شود و هیچ مبلغی قابل عودت نخواهد بود.",کریمی,,امتیاز کلی:5
